ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
27.0,CHOCÓ,27495,NUQUÍ,27495011.0,COMUNIDAD DE PUERTO JAGUA (NUQUÍ - CHOCÓ),2024,6,889.0,411.0,5.35,Lunes,06/17/2024 06:45:00 PM,7.07
27.0,CHOCÓ,27495,NUQUÍ,27495912.0,COMUNIDAD INDÍGENA DE PANGUÍ - EL YUCAL (NUQUÍ - CHOCÓ),2024,6,7888.0,1820.0,11.5,Viernes,06/28/2024 07:15:00 AM,23.17
27.0,CHOCÓ,27495,NUQUÍ,27495000.0,NUQUÍ (NUQUÍ - CHOCÓ),2024,6,286414.0,100295.0,539.26,Sábado,06/01/2024 07:45:00 PM,23.56
27.0,CHOCÓ,27001,QUIBDÓ,27001029.0,TAGACHI (QUIBDÓ - CHOCÓ),2024,6,116.0,31.0,18.77,Viernes,06/28/2024 03:15:00 PM,0.24
27.0,CHOCÓ,27615,RIOSUCIO,27615011.0,SAN JOSE TAMBORAL (RIOSUCIO - CHOCÓ),2024,6,465.0,176.0,4.33,Martes,06/18/2024 07:00:00 PM,4.29
27.0,CHOCÓ,27800,UNGUÍA,27800005.0,TITUMATE (UNGUÍA - CHOCÓ),2024,6,13024.0,3367.0,76.65,Sábado,06/01/2024 09:45:00 PM,7.26
27.0,CHOCÓ,27800,UNGUÍA,27800000.0,UNGUÍA (UNGUÍA - CHOCÓ),2024,6,453004.0,145637.0,957.79,Viernes,06/07/2024 08:15:00 PM,22.15
94.0,GUAINÍA,94343,BARRANCO MINAS,94343000.0,BARRANCO MINAS (BARRANCO MINAS - GUAINÍA),2024,6,87380.0,28373.0,234.28,Martes,06/25/2024 05:30:00 PM,16.11
94.0,GUAINÍA,94001,INÍRIDA,94001905.0,CHORRO BOCON (INÍRIDA - GUAINÍA),2024,6,5482.0,444.0,19.1,Viernes,06/14/2024 07:15:00 PM,15.59
94.0,GUAINÍA,94001,INÍRIDA,94001000.0,INÍRIDA (INÍRIDA - GUAINÍA),2024,6,2088662.0,580002.0,4099.04,Martes,06/18/2024 02:30:00 PM,24.0
44.0,LA GUAJIRA,44847,URIBIA,44847003.0,CABO DE LA VELA (URIBIA - LA GUAJIRA),2024,6,32748.0,1938.0,159.45,Miércoles,06/05/2024 07:30:00 PM,8.33
