,ID MUNICIPIO,LATITUD,LONGITUD
152,13042,8.362996158,-74.10301905
153,13052,10.16422123,-75.37121788
154,13062,10.24171805,-75.02690422
155,13074,8.837077654,-74.27966531
156,13140,10.15517098,-74.99995949
157,13160,7.239229146,-74.10014043
158,13188,9.235268598,-74.68840962
159,13212,9.540047515,-74.89445635
160,13222,10.55663696,-75.31446653
161,13244,9.699819876,-75.15793573
162,13248,10.03483672,-74.92811072
163,13268,8.864818786,-73.91230147
164,13300,8.981717133,-74.09071902
165,13430,9.053135895,-74.70539318
166,13433,10.17821391,-75.17978161
167,13440,9.054601889,-74.22584706
168,13442,9.976017168,-75.34380265
169,13458,8.01710024,-74.46342911
170,13468,9.142512064,-74.54519906
171,13473,8.253700061,-73.9713459
172,13490,8.50613476,-74.11588912
173,13549,8.886315511,-74.40888476
174,13580,8.672628558,-73.91450679
175,13600,8.559982465,-73.90298668
176,13620,10.36972087,-75.07333835
177,13647,10.36468192,-75.20523487
178,13650,9.081483143,-74.37186647
179,13654,9.835362011,-75.10609201
180,13655,8.212463202,-74.75082
181,13657,9.967957823,-75.06571959
182,13667,8.816088444,-74.00599967
183,13670,7.507922612,-74.10356977000001
184,13673,10.64981278,-75.26548463
185,13683,10.46920726,-75.36116053
186,13688,7.772519173,-74.26272843
187,13744,7.851315534,-73.98371609
188,13760,10.33209031,-75.11699226
189,13780,9.269516705,-74.58695233
190,13810,8.492345176,-74.29676139
191,13836,10.35310756,-75.37971541
192,13838,10.25276929,-75.43270299
193,13873,10.4449132,-75.26736275
194,13894,9.745147021,-74.88067037
195,15001,5.518472615,-73.37801856
196,15022,4.954825081,-73.38813425
197,15047,5.437416373,-72.87149471
198,15051,5.73526424,-73.42793109
199,15087,6.005059265,-72.89369887
200,15090,5.230936356,-73.12731944
201,15092,5.920858933,-72.84857876
202,15097,6.337515626,-72.62021239
203,15104,5.439856216,-73.38136994
204,15106,5.673229265,-73.92660705
205,15109,5.489399419,-73.95066255
206,15114,5.843483731,-72.87574623
207,15131,5.575990669,-73.88057508
208,15135,5.006862536,-73.1446703
209,15162,5.962013698,-72.96447288
210,15172,5.202971639,-73.34048074
211,15176,5.622488024,-73.80424531
212,15180,6.68911806,-72.41795675
213,15183,6.091468485,-72.43903174
214,15185,5.984394625,-73.42582375
215,15187,5.556830465,-73.26061715
216,15189,5.393059633,-73.28205772
217,15204,5.667822366,-73.32137049
218,15212,5.452461072,-74.05996578
219,15215,5.82454582,-72.84544845
220,15218,6.519521476,-72.74020421
221,15223,6.886954878,-72.18156285
222,15224,5.527104109,-73.44598646
223,15226,5.58775449,-72.93953686
224,15232,5.643075648,-73.44562391
225,15236,4.871181606,-73.36142379
226,15238,5.890602515,-73.06709484
227,15244,6.353363177,-72.41923752
228,15248,6.508240556,-72.48049625
229,15272,5.67367659,-73.01983352
230,15276,5.85899211,-72.92499827
231,15293,5.744105975,-73.5426552
232,15296,5.799050256,-72.72964765
233,15299,5.089466651,-73.31430272
234,15317,6.445438546,-72.51635332
235,15322,5.01450831,-73.48812352
236,15325,4.931424341,-73.49663372
237,15332,6.566991765,-72.25599334
238,15362,5.617366016,-72.96986504
239,15367,5.38916272,-73.40087021
240,15368,6.155633662,-72.58523093
241,15377,5.541378132,-72.5903846
242,15380,5.113167102,-73.45923708
243,15401,5.507008121,-74.24162727
244,15403,6.265126191,-72.55551085
245,15407,5.665762424,-73.514948
246,15425,4.980176495,-73.29413695
247,15442,5.569810633,-74.02003127
248,15455,5.150953297,-73.17896722
249,15464,5.710937981,-72.63402875
250,15466,5.697352228,-72.83298664
251,15469,5.863370485,-73.55852538
252,15476,5.606192449,-73.37734267
253,15480,5.539429272,-74.11177139
254,15491,5.778759851,-72.93268324
255,15494,5.354701485,-73.44873424
256,15500,5.610787844,-73.27991905
257,15507,5.753787787,-74.19719423
258,15511,5.148323877,-73.39951219
259,15514,5.095211035,-73.00435863
260,15516,5.762027786,-73.13777442
261,15518,5.382328949,-72.69672674
262,15522,6.443299758,-72.46182431
263,15531,5.688801559,-74.00504122
264,15533,5.621242742,-72.3692906
265,15537,6.030008561,-72.75988018
266,15542,5.498483324,-73.07837993
267,15550,5.768131812,-72.43993232
268,15572,5.953466654,-74.4528581
269,15580,5.595729831,-74.26857067
270,15599,5.319934092,-73.310779
271,15600,5.496268621,-73.62894438
272,15621,5.379947879,-73.19650995
273,15632,5.699926051,-73.74799466
274,15638,5.573464882,-73.543102
275,15646,5.47053997,-73.5211756
276,15660,5.234614686,-73.04914067
277,15664,5.994154088,-73.54386522
278,15667,4.798203543,-73.13397018
279,15673,6.395388812,-72.55184862
280,15676,5.532326922,-73.74715898
281,15681,5.677345066,-74.11403749
282,15686,6.057614971,-73.48974828
283,15690,4.823002556,-73.25377506
284,15693,5.892950301,-72.9917278
285,15696,5.731602716,-73.60366287
286,15720,6.13211793,-72.73032415
287,15723,6.083405978,-72.72410815
288,15740,5.498747701,-73.21681778
289,15753,6.323088045,-72.69604089
290,15755,5.906513772,-72.53646361
291,15757,5.960498836,-72.68239784
292,15759,5.646672053,-72.8709565
293,15761,4.970974064,-73.42878785
294,15762,5.580573191,-73.44371838
295,15763,5.763010553,-73.24352232
296,15764,5.494890461,-73.31899997
297,15774,6.215200578,-72.71575634
298,15776,5.640030759,-73.62598773
299,15778,5.030711335,-73.41224401
300,15790,5.882294313,-72.72626817
301,15798,5.071413139,-73.42479699
302,15804,5.301116649,-73.3932521
303,15806,5.747329389,-73.01114724
304,15808,5.577566497,-73.67614572
305,15810,6.42035349,-72.69463583
306,15814,5.580254287,-73.1606969
307,15816,5.921830062,-73.48921806
308,15820,5.765350303,-72.83672958
309,15822,5.501297215,-72.99633297
310,15832,5.720301516,-73.94330927
311,15835,5.305697418,-73.50908714
